,business_id,topic,words
0,---kPU91CF4Lq2-WlRu9Lw,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
1,-0EdehHjIQc0DtYU8QcAig,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
2,-1oygVebK81K8JEPI6H6Lw,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
3,-2YZIUArmrIMVVBi8CT47w,8,"['buffet', 'tour', 'dog', 'cajuncreole', 'arcade', 'indian', 'winery', 'chicago', 'game', 'naan']"
4,-2dvQxx3cYXd5XmFdDDsDA,2,"['southern', 'thru', 'waffle', 'window', 'starbucks', 'irish', 'morning', 'gas', 'mcdonald', 'car']"
5,-2wh7NTLkWEgsrLJvilnFQ,5,"['greek', 'mediterranean', 'gyro', 'eastern', 'middle', 'pita', 'hummus', 'falafel', 'hookah', 'dominican']"
6,-34c4hcDPIInTROr8Xtxtw,0,"['cupcake', 'glutenfree', 'chocolate', 'gelato', 'cone', 'chocolatiers', 'custom', 'cookie', 'treat', 'patisseriecake']"
7,-361Hc0tlxSYdrH_C3OgzA,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
8,-3dkEoYgH8AlUtBMZvzUfg,2,"['southern', 'thru', 'waffle', 'window', 'starbucks', 'irish', 'morning', 'gas', 'mcdonald', 'car']"
9,-4J6iW94f7qhnwmp4Z9bdg,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
10,-4gHyiiX6NKNqQ0DO8QhwQ,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
11,-5psHqEISccHDdHaWF2-6Q,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
12,-6JdVK-DHB4_43PEksbg1A,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
13,-81BXpO5Fuk-RqCabS7LMw,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
14,-AWclhh1_2VnqPylPgBU3g,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
15,-AgYybTLhispcYcoIV7E9A,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
16,-B6XL-ZWsVHlAQyYcd3eEg,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
17,-CvjeIt8CMUMBRnikhHCDg,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
18,-DJNo-yFXyFzzE5OHy7nXA,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
19,-EHrU_DwtX2Jv4NbAMppTA,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
20,-EOlTGHfMPiB7GehuuayJw,6,"['fashion', 'drugstore', 'department', 'sub', 'electronics', 'walmart', 'venue', 'discount', 'phone', 'target']"
21,-ExvxN1QHx4efMLm6PxJ4A,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
22,-FIYPnxsg3kuHXx46zY18w,2,"['southern', 'thru', 'waffle', 'window', 'starbucks', 'irish', 'morning', 'gas', 'mcdonald', 'car']"
23,-FasKNAqishyfjAarVgJtw,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
24,-FlSjORFdUUo1WMKeh9h5Q,4,"['entertainment', 'crab', 'party', 'texmex', 'town', 'spicy', 'onion', 'bartender', 'couple', 'beach']"
